Z_m,t_s,T_C
0.003822975,235.6001574,380.947351
0.003822975,235.7001495,379.470317
0.003822975,235.8001416,378.0014159
0.003822975,235.9001338,376.5405857
0.003822975,236.0001259,375.0877651
0.003822975,236.100118,373.6428932
0.003822975,236.2001101,372.20591
0.003822975,236.3001022,370.7767558
0.003822975,236.4000944,369.3553716
0.003822975,236.5000865,367.9416992
0.003822975,236.6000786,366.5356806
0.003822975,236.7000707,365.1372587
0.003822975,236.8000629,363.7463767
0.003822975,236.900055,362.3629786
0.003822975,237.0000471,360.9870088
0.003822975,237.1000392,359.6184124
0.003822975,237.2000313,358.2571347
0.003822975,237.3000235,356.903122
0.003822975,237.4000156,355.5563209
0.003822975,237.5000077,354.2166783
0.003822975,237.6001731,352.8818388
0.003822975,237.7001653,351.5563691
0.003822975,237.8001574,350.2379024
0.003822975,237.9001495,348.9263879
0.003822975,238.0001416,347.6217752
0.003822975,238.1001338,346.3240143
0.003822975,238.2001259,345.033056
0.003822975,238.300118,343.7488513
0.003822975,238.4001101,342.4713518
0.003822975,238.5001022,341.2005095
0.003822975,238.6000944,339.9362769
0.003822975,238.7000865,338.6786069
0.003822975,238.8000786,337.4274529
0.003822975,238.9000707,336.1827687
0.003822975,239.0000629,334.9445086
0.003822975,239.100055,333.7126273
0.003822975,239.2000471,332.4870799
0.003822975,239.3000392,331.267822
0.003822975,239.4000313,330.0548095
0.003822975,239.5000235,328.8479988
0.003822975,239.6000156,327.6473467
0.003822975,239.7000077,326.4528105
0.003822975,239.8001731,325.2622931
0.003822975,239.9001653,324.0798719
0.003822975,240.0001574,322.9034405
0.00411705,0,0
0.00411705,0.100165419,0
0.00411705,0.200157542,0
0.00411705,0.300149665,0
0.00411705,0.400141788,0
0.00411705,0.500133911,0
0.00411705,0.600126034,0
0.00411705,0.700118156,0
0.00411705,0.800110279,0
0.00411705,0.900102402,0
0.00411705,1.000094525,0
0.00411705,1.100086648,0
0.00411705,1.20007877,0
0.00411705,1.300070893,0
0.00411705,1.400063016,0
0.00411705,1.500055139,0
0.00411705,1.600047262,0
0.00411705,1.700039385,0
0.00411705,1.800031507,0
0.00411705,1.90002363,0
0.00411705,2.000015753,0
0.00411705,2.100007876,0
0.00411705,2.200173295,0
0.00411705,2.300165418,0
0.00411705,2.400157541,0
0.00411705,2.500149664,0
0.00411705,2.600141786,0
0.00411705,2.700133909,0
0.00411705,2.800126032,0
0.00411705,2.900118155,0
0.00411705,3.000110278,0
0.00411705,3.100102401,0
0.00411705,3.200094523,0
0.00411705,3.300086646,0
0.00411705,3.400078769,0
0.00411705,3.500070892,0
0.00411705,3.600063015,0
0.00411705,3.700055137,0
0.00411705,3.80004726,0
0.00411705,3.900039383,0
0.00411705,4.000031506,0
0.00411705,4.100023629,0
0.00411705,4.200015752,0
0.00411705,4.300007874,0
0.00411705,4.400173294,0
0.00411705,4.500165417,0
0.00411705,4.600157539,0
0.00411705,4.700149662,0
0.00411705,4.800141785,0
0.00411705,4.900133908,0
0.00411705,5.000126031,0
0.00411705,5.100118153,0
0.00411705,5.200110276,0
0.00411705,5.300102399,0
0.00411705,5.400094522,0
0.00411705,5.500086645,0
0.00411705,5.600078768,0
0.00411705,5.70007089,0
0.00411705,5.800063013,0
0.00411705,5.900055136,0
0.00411705,6.000047259,0
0.00411705,6.100039382,0
0.00411705,6.200031504,0
0.00411705,6.300023627,0
0.00411705,6.40001575,0
0.00411705,6.500007873,0
0.00411705,6.600173292,0
0.00411705,6.700165415,0
0.00411705,6.800157538,0
0.00411705,6.900149661,0
0.00411705,7.000141784,0
0.00411705,7.100133906,0
0.00411705,7.200126029,0
0.00411705,7.300118152,0
0.00411705,7.400110275,0
0.00411705,7.500102398,0
0.00411705,7.60009452,0
0.00411705,7.700086643,0
0.00411705,7.800078766,0
0.00411705,7.900070889,0
0.00411705,8.000063012,0
0.00411705,8.100055135,0
0.00411705,8.200047257,0
0.00411705,8.30003938,0
0.00411705,8.400031503,0
0.00411705,8.500023626,0
0.00411705,8.600015749,0
0.00411705,8.700007871,0
0.00411705,8.800173291,0
0.00411705,8.900165414,0
0.00411705,9.000157536,0
0.00411705,9.100149659,0
0.00411705,9.200141782,0
0.00411705,9.300133905,0
0.00411705,9.400126028,0
0.00411705,9.500118151,0
0.00411705,9.600110273,0
0.00411705,9.700102396,0
0.00411705,9.800094519,0
0.00411705,9.900086642,0
0.00411705,10.00007876,0
0.00411705,10.10007089,0
0.00411705,10.20006301,0
0.00411705,10.30005513,0
0.00411705,10.40004726,0
0.00411705,10.50003938,0
0.00411705,10.6000315,0
